name,nationality,citation,year,field
John Hopfield,American,for foundational discoveries and inventions that enable machine learning with artificial neural networks ,2024,Physics
Geoffrey Hinton,British Canadian,for foundational discoveries and inventions that enable machine learning with artificial neural networks ,2024,Physics
David Baker,American,for computational protein design ,2024,Chemistry
Demis Hassabis,British,“for protein structure prediction”,2024,Chemistry
John M. Jumper,American,“for protein structure prediction”,2024,Chemistry
Victor Ambros,United States,for the discovery of microRNA and its role in post-transcriptional gene regulation,2024,Physiology_or_Medicine
Gary Ruvkun,United States,for the discovery of microRNA and its role in post-transcriptional gene regulation,2024,Physiology_or_Medicine
Daron Acemoglu,Turkey United States,for studies of how institutions are formed and affect prosperity,2024,Economic_Sciences
Simon Johnson,United Kingdom United States,for studies of how institutions are formed and affect prosperity,2024,Economic_Sciences
James A. Robinson,United Kingdom United States,for studies of how institutions are formed and affect prosperity,2024,Economic_Sciences
Han Kang,South Korea,for her intense poetic prose that confronts historical traumas and exposes the fragility of human life,2024,Literature
Alain Aspect,French,"for experiments with entangled photons , establishing the violation of Bell inequalities and pioneering quantum information science ",2022,Physics
John Clauser,American,"for experiments with entangled photons , establishing the violation of Bell inequalities and pioneering quantum information science ",2022,Physics
Anton Zeilinger,Austrian,"for experiments with entangled photons , establishing the violation of Bell inequalities and pioneering quantum information science ",2022,Physics
Carolyn Bertozzi,American,for the development of click chemistry and bioorthogonal chemistry ,2022,Chemistry
Morten Meldal,Danish,for the development of click chemistry and bioorthogonal chemistry ,2022,Chemistry
K. Barry Sharpless,American,for the development of click chemistry and bioorthogonal chemistry ,2022,Chemistry
Svante Pääbo,Sweden,for his discoveries concerning the genomes of extinct hominins and human evolution,2022,Physiology_or_Medicine
Ben Bernanke,United States,for research on banks and financial crises,2022,Economic_Sciences
Douglas Diamond,United States,for research on banks and financial crises,2022,Economic_Sciences
Philip H. Dybvig,United States,for research on banks and financial crises,2022,Economic_Sciences
Annie Ernaux,France,"for the courage and clinical acuity with which she uncovers the roots, estrangements and collective restraints of personal memory",2022,Literature
Pierre Agostini,French,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,2023,Physics
Ferenc Krausz,Hungarian,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,2023,Physics
Anne L'Huillier,French Swedish,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,2023,Physics
Moungi G. Bawendi,American Tunisian French,for the discovery and synthesis of quantum dots,2023,Chemistry
Louis E. Brus,American,for the discovery and synthesis of quantum dots,2023,Chemistry
Aleksey Yekimov,Russian,for the discovery and synthesis of quantum dots,2023,Chemistry
Katalin Karikó,Hungary,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,2023,Physiology_or_Medicine
Drew Weissman,United States,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,2023,Physiology_or_Medicine
Claudia Goldin,United States,for having advanced our understanding of women’s labour market outcomes,2023,Economic_Sciences
Jon Fosse,Norway,his innovative plays and prose which give voice to the unsayable,2023,Literature
