,text,embeddings,distances
0," – 2022 (MMXXII) was a common year starting on Saturday of the Gregorian calendar, the 2022nd year of the Common Era (CE) and Anno Domini (AD) designations, the 22nd  year of the 3rd millennium and the 21st century, and the  3rd   year of the 2020s decade.  ","[ 9.84254511e-05 -1.79529581e-02 -1.71369147e-02 ... -7.92817678e-03
 -1.28118843e-02 -1.29813701e-02]",0.2908903215204931
1," – The year began with another wave in the COVID-19 pandemic, with Omicron spreading rapidly and becoming the dominant variant of the SARS-CoV-2 virus worldwide. Tracking a decrease in cases and deaths, 2022 saw the removal of most COVID-19 restrictions and the reopening of international borders in the vast majority of countries, while the global rollout of COVID-19 vaccines continued. The global economic recovery from the pandemic continued, though many countries experienced an ongoing inflation surge; in response, many central banks raised their interest rates to landmark levels. The world population reached eight billion people in 2022. The year also witnessed numerous natural disasters, including two devastating Atlantic hurricanes (Fiona and Ian), and the most powerful volcano eruption of the century so far. The later part of the year also saw the first public release of ChatGPT by OpenAI starting an arms race in artificial intelligence which increased in intensity into 2023, as well as the collapse of the cryptocurrency exchange FTX.","[-0.00467222 -0.02001907 -0.00656107 ... -0.01350123 -0.0148447
 -0.00891879]",0.28037983290064616
2," – 2022 was also dominated by wars and armed conflicts. While escalations into the internal conflict in Myanmar and the Tigray War dominated the heightening of tensions within their regions and each caused over 10,000 deaths, 2022 was most notable for the Russian invasion of Ukraine, the largest armed conflict in Europe since World War II. The invasion caused the displacement of 15.7 million Ukrainians (8 million internally displaced persons and 7.7 million refugees), and led to international condemnations and sanctions and nuclear threats, the withdrawal of hundreds of companies from Russia, and the exclusion of Russia from major sporting events.","[-0.00964022 -0.01530236  0.01077398 ... -0.00184981  0.00814844
 -0.00844017]",0.18546776045836844
3," – The ongoing Russian invasion of Ukraine escalated after Russian president Vladimir Putin announced a ""special military operation"", stating that it was to support the Russian-backed breakaway republics of Donetsk and Luhansk, whose paramilitary forces had been fighting Ukraine in the Donbas conflict since 2014.","[-0.01461076 -0.00763714  0.01404013 ...  0.0019491   0.02070189
  0.01070925]",0.13044685761232355
4," January 1 – France takes over the Presidency of the Council of the European Union, after the Slovenian presidency.","[ 0.03014434 -0.01052017 -0.01758841 ...  0.02112886  0.01013452
 -0.02458079]",0.2523468115789561
5," January 1 – The Regional Comprehensive Economic Partnership, the largest free trade area in the world, comes into effect for Australia, Brunei, Cambodia, China, Indonesia, Japan, South Korea, Laos, Malaysia, Myanmar, New Zealand, the Philippines, Singapore, Thailand, and Vietnam.","[-0.00057038 -0.02418328 -0.00530772 ... -0.0085619  -0.01494561
 -0.01808169]",0.28957109522315405
6,January 2 – Abdalla Hamdok resigns as Prime Minister of Sudan amid deadly protests.,"[-0.0150781   0.00121697 -0.02069339 ... -0.00150537  0.00814347
  0.00742856]",0.2617111353642082
7,"January 4 – The five permanent members of the UN Security Council—China, France, Russia, the United Kingdom and the United States—issue a rare joint statement affirming that ""a nuclear war cannot be won and must never be fought.""","[-0.00310161 -0.01270795 -0.00745014 ...  0.01376956  0.01821703
 -0.00883212]",0.23050001805686615
8,"January 5 – A nationwide state of emergency is declared in Kazakhstan in response to the 2022 Kazakh unrest. The cabinet of prime minister Askar Mamin resigns, while president Kassym-Jomart Tokayev removes former president Nursultan Nazarbayev, widely regarded as being the real power in the country, from his position as Chairman of the Security Council of Kazakhstan.","[-0.00287258 -0.00617134 -0.00133057 ...  0.01343289  0.01983549
 -0.0236678 ]",0.21792237755346433
9,"January 6 – The CSTO deploys a ""peacekeeping"" mission in Kazakhstan, including Russian paratroopers, following a request by Kazakh president Tokayev.","[ 0.01265041  0.00304565  0.00592237 ...  0.02598954  0.02605452
 -0.01578865]",0.17787214491359027
10,January 7 – COVID-19 pandemic: The number of COVID-19 cases exceeds 300 million worldwide.,"[ 0.00649263 -0.00335494  0.00535983 ...  0.00024421  0.00339839
 -0.02723676]",0.2620340983673952
11,"January 9 – February 6 – The 2021 Africa Cup of Nations is held in Cameroon, with Senegal winning their first championship.","[-0.00273479 -0.02058161  0.01563643 ... -0.01400923  0.02242493
  0.00043461]",0.2628402300909589
12,"January 10 – The first successful heart transplant from a pig to a human patient occurs in Baltimore, Maryland, United States.","[-0.00905678 -0.01291705  0.00984433 ... -0.01119994  0.00708146
 -0.00528043]",0.2869744462731052
13,January 13 – Bikaner-Guwahati Express derailment: The Bikaner-Guwahati Express train derailed in Maynaguri. 9 people were killed and 50 people were injured. This was the first major train accident of 2022.,"[-0.01927221 -0.00492497  0.0047412  ... -0.03894537  0.00299875
  0.0172942 ]",0.27513600403919924
14,"January 15 – A large eruption of Hunga Tonga–Hunga Ha'apai, a submarine volcano in Tonga, triggers tsunami warnings in Australia, Canada, Chile, Fiji, Japan, New Zealand, Samoa, and the United States.","[-0.00626032 -0.01733331  0.0096637  ...  0.01388199  0.02143655
  0.00530801]",0.2539654806741136
15,"January 16 – World No. 1 tennis champion Novak Djokovic is deported from Australia following a high-profile legal case regarding his COVID-19 vaccination status, preventing his participation in the 2022 Australian Open.","[-1.40638091e-02 -2.56629586e-02  2.76480266e-03 ... -1.93742625e-02
  6.85404241e-03  4.00487443e-05]",0.2644186717689673
16,"January 17 – In Abu Dhabi, United Arab Emirates, a terrorist attack against 3 oil tanker trucks and an under construction airport extension infrastructure is conducted by the Houthi movement using drones and missiles, killing 3 people and injuring 6 others.","[-0.02716899 -0.02218361  0.00585584 ... -0.01149406  0.01425712
  0.01372957]",0.23337581312596367
17,January 22 – President-elect of Honduras Xiomara Castro called on her supporters to hold a vigil outside the National Congress until the official board of directors for the 2022–2026 term was chosen the following day as part of the 2022 Honduran political crisis.,"[-0.01730234 -0.00024159 -0.00671675 ...  0.01182147  0.0128357
 -0.00121153]",0.2535144892914569
18,"January 23 – Tropical Storm Ana kills 115 people in Madagascar, Malawi and Mozambique, days after a series of floods killed 11 people in Madagascar.","[-0.01499513 -0.00724124  0.00069889 ... -0.00506246 -0.02049334
 -0.00758728]",0.2624402543003236
19,January 23 – A coup d'état in Burkina Faso removes president Roch Kaboré from power. The Burkinabé military cites the government's failure to contain activities of Islamist militants within the country as a reason for the coup.,"[-0.0287039  -0.01287109  0.006354   ... -0.00050966  0.00947881
  0.00632464]",0.23036679700896678
20,"January 24 – The federal government under Scott Morrison announces that, after more than three years of confidential negotiations, copyright ownership of the Australian Aboriginal flag has been transferred to the Commonwealth.","[-0.00886768 -0.00865235 -0.01626069 ...  0.01166698  0.02610062
 -0.029572  ]",0.27162722260906624
21,January 28 – COVID-19 pandemic: The number of vaccinations administered worldwide exceeds 10 billion.,"[-0.00761179 -0.00764938 -0.00291942 ... -0.00694772  0.00694146
 -0.01715316]",0.25524698582109795
22,February 3 – Islamic State leader Abu Ibrahim al-Hashimi al-Qurashi is killed in Atme during a counter-terrorism raid by U.S. special forces in north-western Syria.,"[-0.03836647  0.007442   -0.00952628 ... -0.00045777  0.0187128
 -0.00051454]",0.2466777910946618
23,"February 4 – China and Russia issue a joint statement opposing further NATO expansion, expressing ""serious concerns"" about the AUKUS security pact, and pledging to cooperate with each other on a range of issues.","[-0.01084876 -0.03538763 -0.00199055 ...  0.01057754  0.00599265
 -0.00437179]",0.20034441173790563
24,"February 4 – February 20 – The 2022 Winter Olympics are held in Beijing, China, making it the first city ever to host both the Summer Olympics and Winter Olympics.","[-0.00914289 -0.02708163 -0.0132758  ... -0.00237248  0.00237248
 -0.00929432]",0.2612748624294866
25,"February 5 – Cyclone Batsirai kills a total of 123 people across Madagascar, Mauritius, and Réunion two weeks after Tropical Storm Ana killed 115 people in the same region.","[-0.02134305 -0.00403125  0.00188811 ...  0.00387758 -0.01148235
 -0.0153534 ]",0.25013022290545506
26,"February 6 – Queen Elizabeth II celebrates her ""Platinum Jubilee"", marking 70 years as Queen of the United Kingdom.","[-0.01587683 -0.01425447 -0.0159016  ...  0.01716481  0.00894155
 -0.00604669]",0.25325453318915114
27,"February 9 – The biggest breakthrough in fusion energy since 1997 is reported at the Joint European Torus in Oxford, the UK, with 59 megajoules produced over five seconds (11 megawatts of power), more than double the previous record.","[-0.01109935 -0.0167876  -0.0113831  ...  0.00145258  0.00766792
 -0.01298664]",0.2830607868793723
28,"February 21 – February 24 – Russian President Vladimir Putin signs a decree declaring the Luhansk People's Republic and Donetsk People's Republic as independent from Ukraine, and, despite international condemnation and sanctions, begins a full-scale invasion of Ukraine; at dawn on 24 February missiles strike Kyiv. Ukraine severs diplomatic relations with Russia, followed by the Federated States of Micronesia on 25 February.","[-0.01207259 -0.00764819  0.00519387 ...  0.00562172  0.0272761
  0.0108388 ]",0.12126915626485624
29,February 22 – Twosday,"[-0.01305467  0.01157103  0.00788181 ...  0.0136574  -0.00344747
 -0.01643921]",0.24558555684098093
30,"February 26 – Russian invasion of Ukraine: The EU, US, and their allies commit to removing Russian banks from the SWIFT payment system, as well as imposing measures on the Russian Central Bank and further restrictions on Russian elites. These and other sanctions fuel a financial crisis in Russia.","[-0.01402416 -0.02107513  0.01336314 ...  0.00092674  0.02495057
 -0.00820453]",0.14679578561723805
31,"February 27 – Russian invasion of Ukraine: Putin orders Russia's nuclear deterrent forces to be on ""special alert"", their highest level, in response to what he calls ""aggressive statements"" by NATO. The move is condemned by the US.","[-0.01825004 -0.03141063  0.00755706 ... -0.00170291  0.02353227
  0.00287567]",0.13761501045102553
32,February 27 – Russian invasion of Ukraine: European nations ban Russian flights in their airspace.,"[-0.00621373 -0.02172597  0.02183952 ...  0.01453444  0.02241988
 -0.00603709]",0.1384582557209345
33,"February 27 – In a constitutional referendum, Belarus votes to revoke its non-nuclear status and to allow the country to host Russian forces permanently.","[-0.00979104 -0.00282533  0.00526018 ...  0.01902702  0.01254053
 -0.01780071]",0.17967408441586097
34,February 28 – Ukraine applies for membership to join the European Union.,"[-0.00251697 -0.00215541  0.01202934 ...  0.01927921  0.02225862
 -0.00454048]",0.1809651214473602
35,"February 28 – The Intergovernmental Panel on Climate Change (IPCC) releases the second part of its Sixth Assessment Report on climate change. It concludes that many impacts are on the verge of becoming ""irreversible"".","[-0.01422319 -0.01227136  0.0057363  ...  0.0197759  -0.01806241
 -0.02690037]",0.2714045799021372
36,"February 28 – Russian invasion of Ukraine: Russian and Ukrainian officials meet on the Belarus-Ukraine border for the first round of peace talks, with no resolution.","[-0.01183085 -0.00887788  0.00910552 ...  0.00761955  0.01522645
 -0.00266526]",0.12599167624683005
37,February 28 – Russian invasion of Ukraine: Football governing bodies FIFA and UEFA suspend Russian clubs and national teams from all competitions.,"[ 0.00661471 -0.01821571  0.01374699 ...  0.00290498  0.01861966
 -0.00312432]",0.1563881272621146
38,"February 28 – 2022 Russian financial crisis: In an unprecedented move, Switzerland, Monaco, Singapore and South Korea impose unilateral sanctions over Russia including the introduction of export controls and asset freezes.","[-0.01184852 -0.02807856  0.00396047 ...  0.01924974  0.03060484
  0.00459204]",0.19412455541450535
39,March 1 – Russian invasion of Ukraine: World Athletics bans both Russia and Belarus from competing in all of its events.,"[-0.00212938 -0.00792193  0.00378805 ...  0.00322609  0.01032989
 -0.00531864]",0.16546418176948996
40,"March 1 – Russian invasion of Ukraine: In an emergency session, United Nations member states pass a resolution deploring Russia's invasion of Ukraine and calling for the immediate withdrawal of its forces.","[-0.00761132 -0.01620142  0.00351589 ... -0.00248881  0.02743166
 -0.00362214]",0.12621390078362094
41,"March 2 – Russian invasion of Ukraine: Russia captures its first large city, the Black Sea port of Kherson, as shelling intensifies across many parts of Ukraine, including civilian areas.","[ 0.00074991 -0.01837988  0.01266085 ...  0.01599801  0.01427848
  0.01867284]",0.10925132244819802
42,March 2 – Russian invasion of Ukraine: The United Nations reports that over a million refugees have now fled from Ukraine to other countries.,"[-0.00991927 -0.01622115  0.00714594 ...  0.00347777  0.00228308
 -0.00296531]",0.13494332221177852
43,March 2 – The International Criminal Court begins an investigation into possible war crimes committed by Russia in Ukraine.,"[ 0.00370989 -0.00577413  0.00998889 ...  0.0195432   0.01224486
 -0.00094425]",0.15473830383081266
44,Russian invasion of Ukraine: Russia is condemned by world leaders following an attack by its troops on the Zaporizhzhia nuclear plant – the largest in Europe – which led to a fire at the site.,"[ 0.00043635 -0.03460084  0.01294015 ...  0.01138657  0.01051068
 -0.01035724]",0.14711381348989971
45,"March 3 – The National Assembly of Armenia elects incumbent minister of High-Tech Industry and former mayor of Yerevan, Vahagn Khachaturyan, as president of Armenia following the resignation of Armen Sarkissian.","[-0.00541869 -0.00603548 -0.01572002 ... -0.00782772  0.01168991
  0.00225725]",0.24188597651865362
46,March 3 – Georgia and Moldova applied to join the European Union.,"[ 0.00366839  0.00614574  0.01642675 ...  0.00884224  0.00264092
 -0.00274414]",0.21301976434756043
47,"March 4 – March 13 – The 2022 Winter Paralympics are held in Beijing, China, making it the first city to host both Summer Paralympics and Winter Paralympics.","[-0.0060537  -0.02258938 -0.00850461 ... -0.00325722 -0.01340005
 -0.00915734]",0.26141911411730456
48,"March 4 – Insurgency in Khyber Pakhtunkhwa: An Afghan man on behalf of the Islamic State – Khorasan Province commits a suicide attack at a Shia mosque in Peshawar, Khyber Pakhtunkhwa, Pakistan, killing 63 people.","[-0.01614372 -0.0003828   0.01286855 ...  0.0136809   0.00961918
 -0.0131071 ]",0.2180899289204471
49,"March 5 – Researchers in the Antarctic find Endurance, one of the greatest ever undiscovered shipwrecks, which sank in 1915 during Ernest Shackleton's exploration.","[-0.00687748 -0.00782542  0.00072076 ...  0.00344528 -0.00073465
 -0.01967795]",0.2678782288016919
50,March 7 – COVID-19 pandemic: The global death toll from COVID-19 surpasses 6 million.,"[ 0.00568872 -0.00606013  0.00410405 ... -0.00012264  0.0062675
 -0.02567662]",0.2699219331394713
51,"March 8 – The US and UK announce a ban on Russian oil, while the EU announces a two-thirds reduction in its demand for Russian gas.","[-0.00494439 -0.02380185  0.01297067 ...  0.02689647  0.01553679
 -0.00155527]",0.1940027442125679
52,March 9 – 2022 South Korean presidential election: People Power Party candidate Yoon Suk-yeol is narrowly elected President of South Korea.,"[-0.01133732 -0.03458886  0.02213537 ...  0.00886042  0.0003829
  0.00259918]",0.25447477389989537
53,March 9 – Russian invasion of Ukraine: Russia is condemned by world leaders following an air strike in Mariupol that destroys a hospital including a maternity and children's ward.,"[ 0.00080309 -0.01049335  0.00259933 ...  0.01194667  0.01779837
 -0.0030763 ]",0.12690014637371239
54,"March 10 – The National Assembly of Hungary elects former minister for Family Affairs, Katalin Novák, as president of Hungary in a 137–51 vote.","[-0.01307489 -0.01208798 -0.00015078 ... -0.00061843  0.00434432
 -0.02879442]",0.23599068159064585
55,March 11 – Gabriel Boric is sworn in as President of Chile. He becomes the youngest head of state in the nation's history and the first to be born during the military dictatorship of Augusto Pinochet.,"[-0.01252741 -0.00960435 -0.00765999 ... -0.01087014 -0.01248826
  0.00235052]",0.25693533494397014
56,"March 12 – 2022 Turkmenistan presidential election: Serdar Berdimuhamedow, son of former President Gurbanguly Berdimuhamedow, wins with 89% of the total votes.","[-0.00126131 -0.01386323 -0.02798223 ...  0.00529463  0.02428622
 -0.0005755 ]",0.254686717011667
57,March 16 – Russian invasion of Ukraine: A Russian airstrike on the Mariupol Theatre in Mariupol kills an estimated 600 civilians sheltering inside.,"[-0.00897262 -0.00563121  0.00521634 ...  0.01023973  0.01638871
 -0.00051014]",0.1273896933165798
58,"March 19 – The apostolic constitution Praedicate evangelium, reforming the Roman Curia, is promulgated by Pope Francis, coming into force on 5 June.","[ 0.00099208 -0.0135268  -0.0091929  ...  0.01276238  0.0065939
 -0.02467394]",0.25822304607621227
59,"March 21 – China Eastern Airlines Flight 5735 crashes in Guangxi, China, killing all 133 people on board.","[-0.01209899 -0.00550268 -0.00635433 ...  0.01527301  0.00590494
 -0.00955349]",0.2654212333821704
60,"March 24 – Russian invasion of Ukraine: NATO announces that four new battlegroups totaling 40,000 troops will be deployed in Bulgaria, Hungary, Romania and Slovakia, along with enhanced readiness for potential chemical, biological, radiological and nuclear threats.","[ 0.00013491 -0.01726855  0.00771656 ... -0.00396815  0.0241191
 -0.00322978]",0.14618926419772815
61,"March 27 – The M23 offensive begins in North Kivu, Democratic Republic of the Congo.","[-0.01953857  0.00399798  0.00975648 ...  0.01568463  0.00700367
  0.01177307]",0.21093539945156758
62,March 29 – The Democratic Republic of the Congo is admitted to the East African Community.,"[ 0.0040019   0.00444725  0.00604548 ...  0.00909034 -0.00931775
 -0.00177195]",0.2565558130817932
63,"March 31 – Expo 2020 closes in Dubai after a 6-month run; originally scheduled for 10 April 2021, it was delayed due to the COVID-19 pandemic.","[-0.00319569 -0.04654631 -0.00175326 ... -0.00157194  0.03211876
 -0.01747105]",0.2920025458868718
64,April 1 – The joint venture AMITA Health split up as AdventHealth and Ascension parted ways.,"[ 7.66564161e-03 -2.33857390e-05  8.06258898e-03 ... -6.27632532e-03
  1.88452452e-02 -9.86512098e-03]",0.2747041276348533
65,"April 3 – Russian invasion of Ukraine: As Russia's forces retreat from areas near Kyiv, it is accused by Ukraine of war crimes, amid mounting evidence of indiscriminate civilian killings, including the Bucha massacre.","[-0.01216491 -0.0124051   0.00537814 ...  0.01851352  0.01416427
  0.00667318]",0.1114092181571551
66,"April 3 – The second round of voting of the 2022 Costa Rican general election is held, and Social Democratic Progress Party presidential candidate Rodrigo Chaves Robles is elected president.","[-0.02189442 -0.01457457 -0.00497867 ...  0.0044414  -0.01703623
  0.00613786]",0.2666937433176032
