text
"John Hopfield, an ""American"" physicist, was awarded the Nobel Prize in ""2024"" for his foundational discoveries and inventions that enable machine learning with artificial neural networks."
"Geoffrey Hinton, a ""British Canadian"" physicist, was awarded the Nobel Prize in ""2024"" for his foundational discoveries and inventions that enable machine learning with artificial neural networks."
"David Baker, an ""American"" chemist, was awarded the Nobel Prize in ""Chemistry"" in ""2024"" for his work in computational protein design."
"Demis Hassabis, a ""British"" chemist, was awarded the Nobel Prize in ""2024"" for his work on ""protein structure prediction."""
"John M. Jumper, an ""American"" chemist, was awarded the Nobel Prize in ""2024"" for his work in ""protein structure prediction."""
"Victor Ambros, an American, was awarded the Nobel Prize in Physiology or Medicine in 2024 for his discovery of microRNA and its role in post-transcriptional gene regulation."
"Gary Ruvkun, an American, was awarded the Nobel Prize in ""Physiology or Medicine"" in ""2024"" for his discovery of microRNA and its role in post-transcriptional gene regulation."
"Daron Acemoglu, a Turkish-American economist, was awarded the Nobel Prize in Economic Sciences in 2024 for his studies on how institutions are formed and their impact on prosperity."
"Simon Johnson, a dual national of the ""United Kingdom"" and ""United States,"" was awarded the Nobel Prize in ""Economic Sciences"" in ""2024"" for his studies on how institutions are formed and their impact on prosperity."
"James A. Robinson, a dual national of the ""United Kingdom"" and ""United States,"" was awarded the Nobel Prize in ""Economic Sciences"" in ""2024"" for his studies on how institutions are formed and their impact on prosperity."
"Han Kang, a South Korean author, was awarded the Nobel Prize in Literature in 2024 for her intense poetic prose that confronts historical traumas and exposes the fragility of human life."
"Alain Aspect, a ""French"" physicist, was awarded the Nobel Prize in ""Physics"" in ""2022"" for his experiments with entangled photons, which established the violation of Bell inequalities and pioneered quantum information science."
"John Clauser, an ""American"" physicist, was awarded the Nobel Prize in ""Physics"" in ""2022"" for his experiments with entangled photons, which established the violation of Bell inequalities and pioneered quantum information science."
"The 2022 Nobel Prize in Physics was awarded to ""Anton Zeilinger,"" an ""Austrian"" physicist, for his experiments with entangled photons that established the violation of Bell inequalities and pioneered quantum information science."
"In 2022, ""Carolyn Bertozzi,"" an ""American"" chemist, was awarded the Nobel Prize in Chemistry for her development of click chemistry and bioorthogonal chemistry."
"Morten Meldal, a ""Danish"" chemist, was awarded the Nobel Prize in ""Chemistry"" in ""2022"" for his development of click chemistry and bioorthogonal chemistry."
"K. Barry Sharpless, an ""American"" chemist, was awarded the Nobel Prize in ""Chemistry"" in ""2022"" for his development of click chemistry and bioorthogonal chemistry."
"Svante Pääbo, a Swedish scientist, was awarded the Nobel Prize in ""Physiology or Medicine"" in ""2022"" for his discoveries concerning the genomes of extinct hominins and human evolution."
"Ben Bernanke, an economist from the United States, was awarded the Nobel Prize in ""Economic Sciences"" in ""2022"" for his research on banks and financial crises."
"Douglas Diamond, an economist from the United States, was awarded the Nobel Prize in ""Economic Sciences"" in ""2022"" for his research on banks and financial crises."
"Philip H. Dybvig, an economist from the United States, was awarded the Nobel Prize in ""Economic Sciences"" in ""2022"" for his research on banks and financial crises."
"Annie Ernaux, a French author, was awarded the Nobel Prize in Literature in 2022 for the courage and clinical acuity with which she uncovers the roots, estrangements, and collective restraints of personal memory."
"In 2023, ""Pierre Agostini,"" a ""French"" physicist, was awarded the Nobel Prize in Physics for his experimental methods that generate attosecond pulses of light, enabling the study of electron dynamics in matter."
"In 2023, ""Ferenc Krausz,"" a ""Hungarian"" physicist, was awarded the Nobel Prize in Physics for his experimental methods that generate attosecond pulses of light, enabling the study of electron dynamics in matter."
"In 2023, ""Anne L'Huillier,"" a ""French Swedish"" physicist, was awarded the Nobel Prize in Physics for her experimental methods that generate attosecond pulses of light, enabling the study of electron dynamics in matter."
"Moungi G. Bawendi, an ""American Tunisian French"" chemist, was awarded the Nobel Prize in ""Chemistry"" in ""2023"" for his discovery and synthesis of quantum dots."
"Louis E. Brus, an ""American"" chemist, was awarded the Nobel Prize in ""Chemistry"" in ""2023"" for his discovery and synthesis of quantum dots."
"Aleksey Yekimov, a ""Russian"" chemist, was awarded the Nobel Prize in ""Chemistry"" in ""2023"" for his discovery and synthesis of quantum dots."
"Katalin Karikó, a Hungarian scientist, was awarded the Nobel Prize in ""Physiology_or_Medicine"" in ""2023"" for her discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19."
"Drew Weissman, an American, was awarded the Nobel Prize in ""Physiology or Medicine"" in 2023 for his discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19."
"Claudia Goldin, an esteemed economist from the United States, was awarded the Nobel Prize in ""Economic Sciences"" in 2023 for her significant contributions to understanding women’s labour market outcomes."
"Jon Fosse, a Norwegian author, was awarded the Nobel Prize in Literature in 2023 for his innovative plays and prose that give voice to the unsayable."
